"","Package","Version","License","Built"
"355","tibble","3.2.1","MIT + file LICENSE","4.4.1"
"356","tidygraph","1.3.1","MIT + file LICENSE","4.4.1"
"357","tidyr","1.3.1","MIT + file LICENSE","4.4.1"
"358","tidyselect","1.2.1","MIT + file LICENSE","4.4.1"
"359","tidytree","0.4.6","Artistic-2.0","4.4.1"
"360","tidyverse","2.0.0","MIT + file LICENSE","4.4.1"
"361","timechange","0.3.0","GPL (>= 3)","4.4.1"
"362","tinytex","0.52","MIT + file LICENSE","4.4.1"
"363","treeio","1.28.0","Artistic-2.0","4.4.1"
"364","tweenr","2.0.3","MIT + file LICENSE","4.4.1"
"365","TxDb.Hsapiens.UCSC.hg19.knownGene","3.2.2","Artistic-2.0","4.4.1"
"366","txdbmaker","1.0.1","Artistic-2.0","4.4.1"
"367","tzdb","0.4.0","MIT + file LICENSE","4.4.1"
"368","UCSC.utils","1.0.0","Artistic-2.0","4.4.1"
"369","urlchecker","1.0.1","GPL-3","4.4.1"
"370","usethis","2.2.3","MIT + file LICENSE","4.4.1"
"371","utf8","1.2.4","Apache License (== 2.0) | file LICENSE","4.4.1"
"372","uuid","1.2-0","MIT + file LICENSE","4.4.1"
"373","uwot","0.2.2","GPL (>= 3)","4.4.1"
"374","VariantAnnotation","1.50.0","Artistic-2.0","4.4.1"
"375","vctrs","0.6.5","MIT + file LICENSE","4.4.1"
"376","vipor","0.4.7","GPL (>= 2)","4.4.1"
"377","viridis","0.6.5","MIT + file LICENSE","4.4.1"
"378","viridisLite","0.4.2","MIT + file LICENSE","4.4.1"
"379","vroom","1.6.5","MIT + file LICENSE","4.4.1"
"380","waldo","0.5.2","MIT + file LICENSE","4.4.1"
"381","whisker","0.4.1","GPL-3","4.4.1"
"382","withr","3.0.0","MIT + file LICENSE","4.4.1"
"383","xfun","0.46","MIT + file LICENSE","4.4.1"
"384","XML","3.99-0.17","BSD_3_clause + file LICENSE","4.4.1"
"385","xml2","1.3.6","MIT + file LICENSE","4.4.1"
"386","xopen","1.0.1","MIT + file LICENSE","4.4.1"
"387","xtable","1.8-4","GPL (>= 2)","4.4.1"
"388","XVector","0.44.0","Artistic-2.0","4.4.1"
"389","yaml","2.3.9","BSD_3_clause + file LICENSE","4.4.1"
"390","yulab.utils","0.1.5","Artistic-2.0","4.4.1"
"391","zip","2.3.1","MIT + file LICENSE","4.4.1"
"392","zlibbioc","1.50.0","Artistic-2.0 + file LICENSE","4.4.1"
"393","zoo","1.8-12","GPL-2 | GPL-3","4.4.1"
"394","base","4.4.1","Part of R 4.4.1","4.4.1"
"395","boot","1.3-30","Unlimited","4.4.1"
"396","class","7.3-22","GPL-2 | GPL-3","4.4.1"
"397","cluster","2.1.6","GPL (>= 2)","4.4.1"
"398","codetools","0.2-20","GPL","4.4.1"
"399","compiler","4.4.1","Part of R 4.4.1","4.4.1"
"400","datasets","4.4.1","Part of R 4.4.1","4.4.1"
"401","foreign","0.8-86","GPL (>= 2)","4.4.1"
"402","graphics","4.4.1","Part of R 4.4.1","4.4.1"
"403","grDevices","4.4.1","Part of R 4.4.1","4.4.1"
"404","grid","4.4.1","Part of R 4.4.1","4.4.1"
"405","KernSmooth","2.23-24","Unlimited","4.4.1"
"406","lattice","0.22-6","GPL (>= 2)","4.4.1"
"407","MASS","7.3-60.2","GPL-2 | GPL-3","4.4.1"
"408","Matrix","1.7-0","GPL (>= 2) | file LICENCE","4.4.1"
"409","methods","4.4.1","Part of R 4.4.1","4.4.1"
"410","mgcv","1.9-1","GPL (>= 2)","4.4.1"
